id;code;date;details;status;payment_method;payment_date;payment_amount;product_order_id
1;Texas Concrete;2020-01-13T23:33:47;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-01-13T11:26:29;75071;94375
2;program Unbranded;2020-01-13T23:42:47;Marketing Consultant Berkshire;ISSUED;CASH_ON_DELIVERY;2020-01-13T16:07:18;8068;31806
3;Indian Rupee Ngultrum;2020-01-14T01:40:58;program PNG parse;ISSUED;CASH_ON_DELIVERY;2020-01-13T23:07:19;92121;74564
4;transmitting EXE parse;2020-01-13T22:04:48;open architecture;PAID;PAYPAL;2020-01-14T05:08:52;99574;33894
5;attitude-oriented;2020-01-13T16:35:45;Integration structure;CANCELLED;PAYPAL;2020-01-13T18:43:15;72584;98923
6;SDD auxiliary Utah;2020-01-13T19:40:13;Intelligent Frozen Salad;CANCELLED;PAYPAL;2020-01-13T11:02:24;7073;6807
7;Customer;2020-01-14T06:07:17;Cotton Auto Loan Account;ISSUED;CASH_ON_DELIVERY;2020-01-13T10:23:49;32780;10756
8;Arizona Awesome Fresh Soap system;2020-01-13T16:20:58;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-01-13T16:10:01;50263;19746
9;applications Generic;2020-01-13T14:35:44;Assurance;ISSUED;CASH_ON_DELIVERY;2020-01-14T05:13:23;36970;88317
10;functionalities bifurcated;2020-01-14T00:21:08;Investment Account;PAID;CREDIT_CARD;2020-01-14T00:21:08;94911;93817
