id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-01-13T07:44:32;payment unleash Jamaican Dollar;1
2;Rest;2020-01-14T03:01:02;Plains;2
3;Quality Plastic plum;2020-01-13T07:21:24;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-01-14T03:48:36;Architect SSL;4
5;zero tolerance;2020-01-14T00:44:55;user-facing CSS;5
6;ADP Ouguiya;2020-01-13T20:41:23;Garden;6
7;auxiliary;2020-01-14T04:57:23;functionalities Bedfordshire withdrawal;7
8;Data;2020-01-13T07:55:24;Viaduct hybrid;8
9;mesh;2020-01-14T06:21:03;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-01-14T04:19:57;Re-engineered withdrawal Ball;10
